gain-lost, tag-label
Received a bonus at work,Income
Sold stocks at a profit,Income
Won a lottery jackpot,Income
Received a tax refund,Income
Got a raise in salary,Income
Found money on the street,Income
Received an inheritance,Income
Won a bet on a sports game,Income
Received cashback rewards,Income
Earned interest on savings,Income
Received a gift card,Income
Got a promotion at work,Income
Won a prize in a contest,Income
Returned an item for a refund,Income
Received a scholarship,Income
Sold an old item for cash,Income
Found a valuable antique,Income
Received dividend payments,Income
Got a cash gift for your birthday,Income
Won a poker game,Income
Investment gained value,Income
Received reimbursement for expenses,Income
Cashback from credit card purchases,Income
Received royalties from creative work,Income
Lost money in a failed investment,Loss
Gambling losses,Loss
Fined for a traffic violation,Loss
Paid for car repairs,Loss
Spent money on unnecessary items,Loss
Bought a defective product,Loss
Investment lost value,Loss
Lost a bet,Loss
Paid for medical bills,Loss
Unexpected expenses,Loss
Bought a non-refundable concert ticket,Loss
Lost money in a scam,Loss
Paid for home repairs,Loss
Overdraft fees,Loss
Fined for late payment,Loss
Paid for a parking ticket,Loss
Bought an item that quickly depreciated in value,Loss